macro_frame,sim_time,body_index,logical_name,coord_system,valid,valid_velocity,center_x,center_y,center_z,qw,qx,qy,qz,body_omega_x,body_omega_y,body_omega_z,has_body_omega,a0_px,a0_py,a0_pz,a0_vx,a0_vy,a0_vz,has_a0,has_a0_v,a1_px,a1_py,a1_pz,a1_vx,a1_vy,a1_vz,has_a1,has_a1_v,a2_px,a2_py,a2_pz,a2_vx,a2_vy,a2_vz,has_a2,has_a2_v,a3_px,a3_py,a3_pz,a3_vx,a3_vy,a3_vz,has_a3,has_a3_v
488,0.000000,6,gripper_r_finger2,yup_snapshot,1,1,0.460000,0.690000,-0.000000,0.881917,-0.146490,-0.442011,0.073419,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
489,0.000000,0,base,yup_snapshot,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
489,0.000000,1,gripper_l_palm,yup_snapshot,1,1,-0.460000,0.710000,-0.000000,0.364464,0.260635,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
489,0.000000,2,gripper_l_finger1,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.073416,0.441995,0.146491,0.881925,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
489,0.000000,3,gripper_l_finger2,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.881916,-0.146490,0.442011,-0.073418,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
489,0.000000,4,gripper_r_palm,yup_snapshot,1,1,0.460000,0.710000,-0.000000,-0.364463,-0.260634,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
489,0.000000,5,gripper_r_finger1,yup_snapshot,1,1,0.460000,0.690000,-0.000000,-0.073421,-0.442027,0.146488,0.881908,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
489,0.000000,6,gripper_r_finger2,yup_snapshot,1,1,0.460000,0.690000,-0.000000,0.881917,-0.146490,-0.442011,0.073419,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
490,0.000000,0,base,yup_snapshot,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
490,0.000000,1,gripper_l_palm,yup_snapshot,1,1,-0.460000,0.710000,-0.000000,0.364464,0.260635,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
490,0.000000,2,gripper_l_finger1,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.073416,0.441995,0.146491,0.881925,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
490,0.000000,3,gripper_l_finger2,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.881916,-0.146490,0.442011,-0.073418,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
490,0.000000,4,gripper_r_palm,yup_snapshot,1,1,0.460000,0.710000,-0.000000,-0.364463,-0.260634,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
490,0.000000,5,gripper_r_finger1,yup_snapshot,1,1,0.460000,0.690000,-0.000000,-0.073421,-0.442027,0.146488,0.881908,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
490,0.000000,6,gripper_r_finger2,yup_snapshot,1,1,0.460000,0.690000,-0.000000,0.881917,-0.146490,-0.442011,0.073419,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
491,0.000000,0,base,yup_snapshot,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
491,0.000000,1,gripper_l_palm,yup_snapshot,1,1,-0.460000,0.710000,-0.000000,0.364464,0.260635,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
491,0.000000,2,gripper_l_finger1,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.073416,0.441995,0.146491,0.881925,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
491,0.000000,3,gripper_l_finger2,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.881916,-0.146490,0.442011,-0.073418,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
491,0.000000,4,gripper_r_palm,yup_snapshot,1,1,0.460000,0.710000,-0.000000,-0.364463,-0.260634,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
491,0.000000,5,gripper_r_finger1,yup_snapshot,1,1,0.460000,0.690000,-0.000000,-0.073421,-0.442027,0.146488,0.881908,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
491,0.000000,6,gripper_r_finger2,yup_snapshot,1,1,0.460000,0.690000,-0.000000,0.881917,-0.146490,-0.442011,0.073419,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
492,0.000000,0,base,yup_snapshot,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
492,0.000000,1,gripper_l_palm,yup_snapshot,1,1,-0.460000,0.710000,-0.000000,0.364464,0.260635,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
492,0.000000,2,gripper_l_finger1,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.073416,0.441995,0.146491,0.881925,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
492,0.000000,3,gripper_l_finger2,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.881916,-0.146490,0.442011,-0.073418,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
492,0.000000,4,gripper_r_palm,yup_snapshot,1,1,0.460000,0.710000,-0.000000,-0.364463,-0.260634,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
492,0.000000,5,gripper_r_finger1,yup_snapshot,1,1,0.460000,0.690000,-0.000000,-0.073421,-0.442027,0.146488,0.881908,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
492,0.000000,6,gripper_r_finger2,yup_snapshot,1,1,0.460000,0.690000,-0.000000,0.881917,-0.146490,-0.442011,0.073419,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
493,0.000000,0,base,yup_snapshot,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
493,0.000000,1,gripper_l_palm,yup_snapshot,1,1,-0.460000,0.710000,-0.000000,0.364464,0.260635,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
493,0.000000,2,gripper_l_finger1,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.073416,0.441995,0.146491,0.881925,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
493,0.000000,3,gripper_l_finger2,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.881916,-0.146490,0.442011,-0.073418,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
493,0.000000,4,gripper_r_palm,yup_snapshot,1,1,0.460000,0.710000,-0.000000,-0.364463,-0.260634,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
493,0.000000,5,gripper_r_finger1,yup_snapshot,1,1,0.460000,0.690000,-0.000000,-0.073421,-0.442027,0.146488,0.881908,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
493,0.000000,6,gripper_r_finger2,yup_snapshot,1,1,0.460000,0.690000,-0.000000,0.881917,-0.146490,-0.442011,0.073419,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
494,0.000000,0,base,yup_snapshot,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
494,0.000000,1,gripper_l_palm,yup_snapshot,1,1,-0.460000,0.710000,-0.000000,0.364464,0.260635,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
494,0.000000,2,gripper_l_finger1,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.073416,0.441995,0.146491,0.881925,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
494,0.000000,3,gripper_l_finger2,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.881916,-0.146490,0.442011,-0.073418,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
494,0.000000,4,gripper_r_palm,yup_snapshot,1,1,0.460000,0.710000,-0.000000,-0.364463,-0.260634,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
494,0.000000,5,gripper_r_finger1,yup_snapshot,1,1,0.460000,0.690000,-0.000000,-0.073421,-0.442027,0.146488,0.881908,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
494,0.000000,6,gripper_r_finger2,yup_snapshot,1,1,0.460000,0.690000,-0.000000,0.881917,-0.146490,-0.442011,0.073419,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
495,0.000000,0,base,yup_snapshot,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
495,0.000000,1,gripper_l_palm,yup_snapshot,1,1,-0.460000,0.710000,-0.000000,0.364464,0.260635,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
495,0.000000,2,gripper_l_finger1,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.073416,0.441995,0.146491,0.881925,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
495,0.000000,3,gripper_l_finger2,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.881916,-0.146490,0.442011,-0.073418,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
495,0.000000,4,gripper_r_palm,yup_snapshot,1,1,0.460000,0.710000,-0.000000,-0.364463,-0.260634,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
495,0.000000,5,gripper_r_finger1,yup_snapshot,1,1,0.460000,0.690000,-0.000000,-0.073421,-0.442027,0.146488,0.881908,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
495,0.000000,6,gripper_r_finger2,yup_snapshot,1,1,0.460000,0.690000,-0.000000,0.881917,-0.146490,-0.442011,0.073419,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
496,0.000000,0,base,yup_snapshot,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
496,0.000000,1,gripper_l_palm,yup_snapshot,1,1,-0.460000,0.710000,-0.000000,0.364464,0.260635,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
496,0.000000,2,gripper_l_finger1,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.073416,0.441995,0.146491,0.881925,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
496,0.000000,3,gripper_l_finger2,yup_snapshot,1,1,-0.460000,0.690000,-0.000000,0.881916,-0.146490,0.442011,-0.073418,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
496,0.000000,4,gripper_r_palm,yup_snapshot,1,1,0.460000,0.710000,-0.000000,-0.364463,-0.260634,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
496,0.000000,5,gripper_r_finger1,yup_snapshot,1,1,0.460000,0.690000,-0.000000,-0.073421,-0.442027,0.146488,0.881908,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
496,0.000000,6,gripper_r_finger2,yup_snapshot,1,1,0.460000,0.690000,-0.000000,0.881917,-0.146490,-0.442011,0.073419,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
497,0.000000,0,base,yup_snapshot,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
497,0.000000,1,gripper_l_palm,yup_snapshot,1,1,-0.460000,0.710000,-0.000000,0.364464,0.260635,-0.520025,0.727193,0.000000,0.000000,-0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
